assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,1,30,0,2.1,38,0.0,0.38,0.38,1.17,7,0,1,6.0,34.4,2024-08-17,28,False,19,0,0,0,0,1,0,23567,0,2,1,23.0,6,0,0,0,60,False,0,1,2,0.7002958059310913,25,West Ham,Aston Villa,1,2,26608,2024,666475,0.0,0,0,1,0.7002958059310913,0.7002958059310913,0.3958303928375244,3.0,2.0,1.0,2.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,3.4,38,0.14,0.24,0.1,0.51,11,2,0,1.3,2.6,2024-08-24,25,False,1,0,0,0,0,2,0,61234,0,2,0,7.0,1,17409,23795,6386,60,True,0,0,1,0.0651178881525993,19,Aston Villa,Arsenal,0,2,26618,2024,668270,0.0,0,0,0,0.0651178881525993,0.1071303114295005,0.0420124232769012,4.0,4.0,2.0,2.5,FWD,0.0,0.0,0.38,0.38,1.17,0.0,1.0,6.0,34.4,2.1,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,0.7,0.0,0.0,0.0,1.0,0.7,0.7,0.4,2.0,23567.0
0,3,27,0,3.2,38,0.0,0.23,0.23,0.28,26,1,1,7.6,33.2,2024-08-31,29,False,11,0,0,0,0,3,0,77745,0,2,1,40.0,7,10134,28151,18017,60,False,1,1,2,0.4976961612701416,27,Leicester,Aston Villa,1,2,26626,2024,671838,0.0,0,0,1,0.4976961612701416,0.4976961612701416,0.0,3.0,2.0,3.0,5.2,FWD,0.0,0.14,0.62,0.48,1.68,2.0,1.0,7.3,37.0,5.5,30.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,3.0,0.77,0.0,0.0,0.0,1.0,0.77,0.81,0.44,4.5,84801.0
0,1,27,0,0.5,38,0.0,0.33,0.33,0.23,31,0,1,4.5,29.2,2024-09-14,21,False,8,0,0,0,0,4,0,168399,0,2,3,15.0,6,76537,109125,32588,60,True,0,1,3,0.2622961699962616,14,Aston Villa,Everton,3,2,26638,2024,673933,0.0,0,0,1,0.2622961699962616,0.1310801655054092,0.0,2.0,4.0,4.0,5.0,FWD,0.0,0.14,0.85,0.71,1.96,3.0,2.0,14.9,70.2,8.7,70.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,14.0,2.0,5.0,1.26,0.0,0.0,0.0,2.0,1.26,1.31,0.44,9.7,162546.0
0,0,26,0,0.8,38,0.0,1.03,1.03,0.0,41,0,1,5.4,32.0,2024-09-21,28,False,20,0,0,0,0,5,0,414473,0,1,3,21.0,5,233114,257452,24338,61,True,0,1,2,0.9910634160041808,22,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675757,0.0,0,0,1,0.9910634160041808,1.399954915046692,0.8097723126411438,2.0,4.0,5.0,4.8,FWD,0.0,0.14,0.8,0.66,1.02,3.0,2.0,13.4,65.0,7.1,62.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,14.0,2.0,6.0,0.83,0.0,0.0,0.0,2.0,0.83,0.74,0.04,12.7,307378.0
0,0,7,0,10.3,38,0.0,0.0,0.0,0.63,56,1,0,1.9,8.4,2024-09-29,26,False,10,0,0,0,0,6,0,641783,0,2,2,0.0,1,218045,272218,54173,62,False,0,0,0,0.0,23,Ipswich,Aston Villa,2,2,26659,2024,678387,0.0569250509142875,0,1,0,0.0,0.0569250509142875,0.0,3.0,2.0,6.0,4.5,FWD,0.0,0.0,1.59,1.59,0.51,1.0,3.0,17.5,94.4,4.5,76.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,18.0,3.0,7.0,1.75,0.0,0.0,0.0,3.0,1.75,2.03,0.81,15.0,660617.0
0,0,2,0,1.2,38,0.03,0.03,0.0,0.27,62,0,0,1.2,2.6,2024-10-06,27,False,14,0,0,0,0,7,0,693422,0,0,0,8.0,1,47344,141559,94215,62,True,0,0,0,0.0,24,Aston Villa,Manchester United,0,0,26670,2024,680085,0.0,0,0,0,0.0,0.0853862762451171,0.0853862762451171,3.0,4.0,7.0,3.2,FWD,0.0,0.0,1.36,1.36,0.86,1.0,2.0,11.8,69.6,11.6,36.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,12.0,2.0,5.0,1.25,0.06,0.0,1.0,2.0,1.25,1.59,0.81,14.3,1224655.0
0,0,2,0,0.5,38,0.01,0.03,0.02,0.24,72,0,0,0.5,0.2,2024-10-19,15,False,9,0,0,0,0,8,0,669387,0,3,1,4.0,1,-34106,64785,98891,62,False,0,0,1,0.0680003762245178,11,Fulham,Aston Villa,1,3,26673,2024,681345,0.0,0,0,0,0.0680003762245178,0.0680003762245178,0.0,3.0,3.0,8.0,1.0,FWD,0.0,0.03,1.06,1.03,0.9,1.0,1.0,8.5,43.0,12.3,29.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,2.0,0.99,0.06,0.0,1.0,1.0,0.99,1.54,0.9,12.5,1749678.0
0,0,0,0,1.8,38,0.0,0.29,0.29,0.12,82,1,0,2.9,5.6,2024-10-26,33,False,3,0,0,0,0,9,0,598546,0,1,1,22.0,1,-73790,25067,98857,62,True,0,0,3,0.1532004475593567,28,Aston Villa,Bournemouth,1,1,26684,2024,682970,0.0,0,0,0,0.1532004475593567,0.1532004475593567,0.0,3.0,4.0,9.0,1.0,FWD,0.0,0.04,0.06,0.02,1.14,1.0,0.0,3.6,11.2,12.0,12.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,1.0,0.07,0.06,0.0,1.0,0.0,0.07,0.21,0.09,8.7,2004592.0
0,0,2,0,0.2,38,0.0,0.0,0.0,1.48,99,3,0,0.0,0.0,2024-11-03,21,False,18,0,0,0,0,10,0,481125,0,1,4,0.0,1,-122254,17390,139644,61,False,0,0,0,0.0,20,Tottenham,Aston Villa,4,1,26700,2024,685542,0.0,0,0,0,0.0,0.0,0.0,3.0,4.0,10.0,0.5,FWD,0.0,0.04,0.35,0.31,0.63,1.0,0.0,4.6,8.4,3.5,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,0.22,0.0,0.0,0.0,0.0,0.22,0.31,0.09,5.2,1961355.0
