assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0,0,12,0,0.0,248,0.0,0.0,0.0,2.43,1,1,0,3.3,33.0,2024-08-16,90,14,0,0,0,0,1,4,215262,1,0,1,0.0,3,0,0,0,50,False,0,0,0,0,90,Manchester United,Fulham,1,0,26602,2024,666185,0.0,0,0,0,0,0.0364734828472137,0.0364734828472137,2,3,1,3.1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.61,0.24,0.2
0,0,14,0,0.0,248,0.0,0.0,0.0,0.61,15,1,0,2.1,21.2,2024-08-24,90,11,0,0,0,0,2,3,287111,1,1,2,0.0,3,24728,41404,16676,50,True,0,0,0,0,90,Fulham,Leicester,2,1,26614,2024,667945,0.0,0,0,0,0,0.6553217768669128,0.6553217768669128,2,3,2,3.5,GK,0.0,0.0,0.0,0.0,2.43,1.0,0.0,3.3,33.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,3.1,215262.0,0.0,0.0,0.0,0.0,2.43,1.0,0.0,3.3,33.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,3.1,215262.0,3.0,0.55,0.27,0.23
0,0,14,0,0.0,248,0.0,0.0,0.0,0.45,25,1,0,2.8,27.8,2024-08-31,90,10,0,0,0,0,3,3,314247,1,1,1,0.0,3,11563,45760,34197,50,False,0,0,0,0,90,Ipswich,Fulham,1,1,26625,2024,671795,0.0,0,0,0,0,0.3357647061347961,0.3357647061347961,2,2,3,3.5,GK,0.0,0.0,0.0,0.0,3.04,2.0,0.0,5.4,54.2,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,6.6,502373.0,0.0,0.0,0.0,0.0,3.04,2.0,0.0,5.4,54.2,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.69,6.6,502373.0,3.0,0.32,0.29,0.43
0,0,12,0,0.0,248,0.0,0.0,0.0,0.76,35,1,0,1.9,19.0,2024-09-14,90,19,0,0,0,0,4,2,291193,1,1,1,0.0,2,-26129,15099,41228,50,True,0,0,0,0,90,Fulham,West Ham,1,1,26634,2024,673732,0.0,0,0,0,0,0.0,0.0,2,3,4,2.7,GK,0.0,0.0,0.0,0.0,3.49,3.0,0.0,8.2,82.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,10.1,816620.0,0.0,0.0,0.0,0.0,3.49,3.0,0.0,8.2,82.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,10.1,816620.0,2.0,0.4,0.29,0.35
0,0,8,0,0.0,248,0.0,0.0,0.0,1.54,44,1,0,2.6,26.2,2024-09-21,90,15,0,0,0,0,5,4,279737,1,1,3,0.0,2,-14772,6131,20903,50,True,1,0,0,0,90,Fulham,Newcastle United,3,1,26646,2024,675713,0.0,0,0,0,0,0.1971915513277053,0.1971915513277053,3,3,5,2.0,GK,0.0,0.0,0.0,0.0,1.82,3.0,0.0,6.8,68.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,9.7,892551.0,0.0,0.0,0.0,0.0,4.25,4.0,0.0,10.1,101.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,3.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,12.8,1107813.0,2.0,0.35,0.29,0.4
0,0,23,1,0.0,248,0.0,0.0,0.0,0.8,59,0,0,0.8,8.0,2024-09-28,90,16,0,0,0,0,6,1,262776,1,1,0,0.0,5,-19532,8261,27793,50,False,1,0,0,0,90,Nottingham Forest,Fulham,0,1,26653,2024,677789,0.0,0,0,0,0,0.224400594830513,0.224400594830513,2,2,6,3.0,GK,0.0,0.0,0.0,0.0,2.75,3.0,0.0,7.3,73.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.53,8.2,885177.0,0.0,0.0,0.0,0.0,5.79,5.0,0.0,12.7,127.2,0.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,4.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,14.8,1387550.0,5.0,0.42,0.3,0.32
0,0,3,0,0.0,248,0.0,0.0,0.0,1.57,69,3,0,2.9,28.8,2024-10-05,90,13,0,0,0,0,7,4,247901,1,2,3,0.0,2,-17489,4177,21666,50,False,0,0,0,0,90,Manchester City,Fulham,3,2,26664,2024,679466,0.0,0,0,0,0,1.3492051362991333,1.3492051362991333,2,5,7,1.8,GK,1.0,0.0,0.0,0.0,3.1,2.0,0.0,5.3,53.2,0.0,0.0,270.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,7.7,833706.0,1.0,0.0,0.0,0.0,4.16,4.0,0.0,10.2,102.2,0.0,0.0,450.0,0.0,0.0,0.0,0.0,2.0,13.0,5.0,5.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,1.41,14.7,1435064.0,2.0,0.8,0.17,0.08
1,0,14,0,10.0,248,0.02,0.02,0.0,1.68,72,3,0,5.9,49.2,2024-10-19,90,2,0,0,0,0,8,4,247617,1,3,1,0.0,5,-3297,7556,10853,50,True,0,0,0,0,90,Fulham,Aston Villa,1,3,26673,2024,681318,0.0445953160524368,1,1,0,0,0.6409071087837219,0.5963118076324463,3,3,8,4.0,GK,1.0,0.0,0.0,0.0,3.91,4.0,0.0,6.3,63.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.77,6.8,790414.0,1.0,0.0,0.0,0.0,5.12,6.0,0.0,11.0,109.8,0.0,0.0,450.0,0.0,0.0,0.0,0.0,2.0,14.0,5.0,6.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,2.11,13.0,1395854.0,5.0,0.42,0.28,0.35
0,0,22,0,0.0,248,0.0,0.0,0.0,0.79,87,1,0,3.8,38.2,2024-10-26,90,8,0,0,0,0,9,4,258713,1,1,1,0.0,3,8683,15872,7189,50,False,0,0,0,0,90,Everton,Fulham,1,1,26687,2024,683158,0.0,0,0,0,0,0.2248616814613342,0.2248616814613342,2,2,9,3.3,GK,1.0,0.02,0.02,0.0,4.05,6.0,0.0,9.6,86.0,10.0,0.0,270.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,6.0,4.0,12.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,2.21,2.17,8.8,758294.0,1.0,0.02,0.02,0.0,6.35,8.0,0.0,14.1,131.2,10.0,0.0,450.0,0.0,0.0,0.0,0.0,2.0,15.0,5.0,8.0,8.0,16.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,2.41,2.37,13.5,1329224.0,3.0,0.36,0.3,0.38
0,0,11,0,0.0,248,0.0,0.0,0.0,0.59,92,1,0,1.3,13.0,2024-11-04,90,4,0,0,0,0,10,1,266834,1,1,2,0.0,2,6199,14782,8583,50,True,0,0,0,0,90,Fulham,Brentford,2,1,26693,2024,686105,0.0,0,0,0,0,0.0,0.0,2,3,10,3.3,GK,0.0,0.02,0.02,0.0,4.04,7.0,0.0,12.6,116.2,10.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,6.0,5.0,10.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,2.21,2.17,9.1,754231.0,1.0,0.02,0.02,0.0,6.38,8.0,0.0,16.0,150.4,10.0,0.0,450.0,0.0,0.0,0.0,0.0,2.0,17.0,5.0,8.0,8.0,17.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,2.64,2.59,14.1,1296744.0,2.0,0.49,0.27,0.29
0,2,34,1,0.0,248,0.0,0.0,0.0,1.52,104,0,0,3.1,31.4,2024-11-09,90,7,0,0,0,0,11,4,277635,1,2,0,0.0,9,8109,16758,8649,50,False,0,0,0,0,90,Crystal Palace,Fulham,0,2,26706,2024,686617,0.0,0,0,0,0,0.0,0.0,2,2,11,,,0.0,0.02,0.02,0.0,3.06,5.0,0.0,11.0,100.4,10.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,4.0,10.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,0.87,0.82,10.6,773164.0,1.0,0.02,0.02,0.0,5.43,8.0,0.0,14.7,137.2,10.0,0.0,450.0,0.0,0.0,0.0,0.0,1.0,14.0,5.0,8.0,7.0,17.0,0.0,0.0,0.0,0.04,1.0,1.0,0.0,0.0,2.44,2.39,15.4,1283841.0,7.0,0.37,0.29,0.38
