assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,pts_bps,whh,whd,wha
0,0,8,0,4.5,81,0.01,0.01,0.0,1.02,6,1,0,1.2,7.8,2024-08-17,62,16,0,0,0,0,1,0,14466,1,1,1,0.0,2,0,0,0,45,False,0,0,0,0.0,74,Nottingham Forest,Bournemouth,1,1,26607,2024,666402,0.0,0,0,0,0.0,0.0574959442019462,0.0574959442019462,2,2,1,1.9,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.29,0.36
0,0,3,0,0.0,81,0.0,0.0,0.0,0.06,12,0,0,0.2,2.0,2024-08-25,4,15,0,0,0,0,2,0,17671,0,1,1,0.0,1,-605,808,1413,45,True,0,0,0,0.0,1,Bournemouth,Newcastle United,1,1,26620,2024,668715,0.0,0,0,0,0.0,0.0,0.0,3,3,2,1.0,DEF,0.0,0.01,0.01,0.0,1.02,1.0,0.0,1.2,7.8,4.5,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.9,14466.0,0.0,0.01,0.01,0.0,1.02,1.0,0.0,1.2,7.8,4.5,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.9,14466.0,1.0,0.33,0.26,0.44
0,0,5,0,10.0,81,0.0,0.0,0.0,0.08,24,0,0,1.5,5.4,2024-08-31,13,8,0,0,0,0,3,0,17855,0,3,2,0.0,1,-818,1192,2010,45,False,0,0,0,0.0,12,Everton,Bournemouth,2,3,26624,2024,671779,0.0697761848568916,0,1,0,0.0,1.1680855751037598,1.0983093976974487,2,2,3,1.3,DEF,0.0,0.01,0.01,0.0,1.08,1.0,0.0,1.4,9.8,4.5,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,2.9,32137.0,0.0,0.01,0.01,0.0,1.08,1.0,0.0,1.4,9.8,4.5,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,2.9,32137.0,1.0,0.36,0.29,0.38
0,0,19,1,0.4,81,0.0,0.0,0.0,0.47,32,0,0,1.1,10.4,2024-09-14,74,6,0,0,0,0,4,0,17161,1,1,0,0.0,5,-1468,586,2054,45,True,1,0,0,0.0,76,Bournemouth,Chelsea,0,1,26639,2024,674147,0.0,0,0,0,0.0,0.1673186719417572,0.1673186719417572,4,3,4,2.2,DEF,0.0,0.01,0.01,0.0,1.16,1.0,0.0,2.9,15.2,14.5,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.23,1.16,4.2,49992.0,0.0,0.01,0.01,0.0,1.16,1.0,0.0,2.9,15.2,14.5,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.23,1.16,4.2,49992.0,5.0,0.29,0.26,0.49
0,0,4,0,0.0,81,0.0,0.0,0.0,0.4,46,0,0,0.5,5.0,2024-09-21,21,12,0,0,0,0,5,0,18408,0,0,3,0.0,1,559,1534,975,45,False,0,0,0,0.0,17,Liverpool,Bournemouth,3,0,26645,2024,675712,0.0,0,0,0,0.0,0.0420288033783435,0.0420288033783435,2,5,5,1.5,DEF,1.0,0.0,0.0,0.0,0.61,0.0,0.0,2.8,17.8,10.4,0.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,7.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.34,1.27,4.5,52687.0,1.0,0.01,0.01,0.0,1.63,1.0,0.0,4.0,25.6,14.9,0.0,153.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,9.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.39,1.32,6.4,67153.0,1.0,0.77,0.15,0.12
0,0,8,0,2.6,81,0.01,0.01,0.0,0.6,52,1,0,0.8,5.8,2024-09-30,90,17,0,0,0,0,6,0,22419,1,1,3,0.0,2,2993,5177,2184,45,True,0,0,0,0.0,90,Bournemouth,Southampton,3,1,26661,2024,678923,0.0,0,0,0,0.0,0.057191751897335,0.057191751897335,2,3,6,3.2,DEF,1.0,0.0,0.0,0.0,0.95,0.0,0.0,3.1,20.8,10.4,0.0,108.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,7.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.38,1.31,5.0,53424.0,1.0,0.01,0.01,0.0,2.03,1.0,0.0,4.5,30.6,14.9,0.0,174.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,7.0,10.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.43,1.37,7.9,85561.0,2.0,0.6,0.24,0.21
0,0,3,0,1.3,81,0.0,0.0,0.0,0.76,68,1,0,0.8,4.6,2024-10-05,62,11,0,0,0,0,7,0,24317,1,0,1,2.0,2,1640,3754,2114,45,False,0,0,0,0.0,66,Leicester,Bournemouth,1,0,26663,2024,679436,0.0,0,0,0,0.0,0.0797215849161148,0.0797215849161148,2,2,7,3.0,DEF,1.0,0.01,0.01,0.0,1.47,1.0,0.0,2.4,21.2,3.0,0.0,185.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,6.9,57988.0,1.0,0.01,0.01,0.0,1.61,1.0,0.0,4.1,28.6,13.0,0.0,202.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,9.0,10.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.43,1.36,9.2,93514.0,2.0,0.31,0.27,0.47
0,0,5,0,1.3,81,0.0,0.0,0.0,0.46,71,0,0,0.4,2.8,2024-10-19,45,1,0,0,0,0,8,0,21497,0,0,2,0.0,1,-3016,458,3474,45,True,0,0,0,0.0,40,Bournemouth,Arsenal,2,0,26680,2024,681577,0.0,0,0,0,0.0,0.020929617807269,0.020929617807269,5,3,8,0.7,DEF,0.0,0.01,0.01,0.0,1.76,2.0,0.0,2.1,15.4,3.9,2.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,7.7,65144.0,1.0,0.01,0.01,0.0,2.31,2.0,0.0,4.7,31.2,14.3,2.0,260.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,9.0,11.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,1.51,1.44,11.2,100160.0,1.0,0.2,0.25,0.6
0,0,-1,0,11.6,81,0.01,0.01,0.0,1.15,82,1,0,1.7,5.0,2024-10-26,60,2,0,0,0,0,9,0,21091,0,1,1,0.0,1,-671,485,1156,45,False,1,0,0,0.0,61,Aston Villa,Bournemouth,1,1,26684,2024,682988,0.0240442007780075,0,1,0,0.0,0.0558974482119083,0.0318532474339008,2,4,9,1.5,DEF,0.0,0.01,0.01,0.0,1.82,2.0,0.0,2.0,13.2,5.2,2.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,6.9,68233.0,1.0,0.01,0.01,0.0,2.69,2.0,0.0,3.6,28.6,5.6,2.0,292.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,10.6,103802.0,1.0,0.54,0.26,0.25
0,0,7,0,15.4,81,0.01,0.61,0.6,1.56,91,1,0,3.9,19.4,2024-11-02,90,13,0,0,0,0,10,0,20339,1,1,2,4.0,2,-995,514,1509,45,True,0,0,1,0.2666778862476349,90,Bournemouth,Manchester City,2,1,26692,2024,684964,0.0515164360404014,0,1,0,0.2666778862476349,0.776430606842041,0.4582363069057464,5,3,10,0.3,DEF,0.0,0.01,0.01,0.0,2.37,2.0,0.0,2.9,12.4,14.2,2.0,167.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.16,0.13,5.2,66905.0,0.0,0.02,0.02,0.0,3.37,3.0,0.0,4.2,23.2,16.8,2.0,278.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,7.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.26,0.23,9.9,107732.0,2.0,0.18,0.23,0.62
