assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
1,2,29,0,16.9,449,0.03,0.27,0.24,0.94,6,1,0,6.5,12.4,2024-08-17,75,3,0,0,0,0,1,0,4944,0,1,1,36.0,7,0,0,0,50,True,0,0,3,0.2022142857313156,76,Nottingham Forest,Bournemouth,1,1,26607,2024,666398,0.0225998293608427,0,1,0,0.2022142857313156,0.3494651615619659,0.1246510371565818,2,2,1,1.6,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,0,10.7,449,0.0,0.02,0.02,0.0,18,0,0,1.7,5.0,2024-08-24,24,17,0,0,0,0,2,0,35817,0,1,0,1.0,1,16735,21017,4282,50,False,0,0,1,0.0229019001126289,23,Southampton,Nottingham Forest,0,1,26616,2024,668068,0.124549776315689,0,1,0,0.0229019001126289,0.1956249475479126,0.0481732785701751,3,2,2,4.5,MID,0.0,0.01,0.09,0.08,0.31,0.33,0.0,2.17,4.13,5.63,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,2.33,0.0,1.0,0.07,0.01,0.0,0.33,0.0,0.07,0.12,0.04,0.53,1648.0
0,0,4,0,11.0,449,0.02,0.02,0.0,0.12,29,0,0,2.8,7.0,2024-08-31,32,20,0,0,0,0,3,0,26451,0,1,1,10.0,1,-7876,2654,10530,50,True,0,0,0,0.0,30,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671857,0.0447713546454906,0,1,0,0.0,0.1023956537246704,0.05762430280447,2,2,3,2.2,MID,0.0,0.01,0.1,0.09,0.31,0.33,0.0,2.73,5.8,9.2,12.33,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.67,0.0,1.33,0.08,0.05,0.0,0.67,0.0,0.08,0.18,0.06,2.03,13587.0
0,0,6,1,1.7,449,0.0,0.0,0.0,0.94,36,0,0,0.5,2.8,2024-09-14,90,12,0,0,0,0,4,0,21845,1,1,0,0.0,2,-5377,681,6058,50,False,1,0,0,0.0,90,Liverpool,Nottingham Forest,0,1,26635,2024,673786,0.0,0,0,0,0.0,0.0980507582426071,0.0980507582426071,3,5,4,2.3,MID,0.0,0.02,0.1,0.09,0.35,0.33,0.0,3.67,8.13,12.87,15.67,43.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,3.0,0.0,1.33,0.08,0.06,0.0,1.0,0.0,0.08,0.22,0.08,2.77,22404.0
0,0,3,0,0.3,449,0.0,0.0,0.0,0.55,42,0,0,0.5,4.6,2024-09-22,45,5,0,0,0,0,5,0,20838,0,2,2,0.0,1,-1410,592,2002,50,False,0,0,0,0.0,40,Brighton,Nottingham Forest,2,2,26650,2024,676326,0.0,0,0,0,0.0,0.5182939767837524,0.5182939767837524,3,3,5,1.2,MID,0.33,0.01,0.01,0.01,0.35,0.0,0.0,1.67,4.93,7.8,3.67,48.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.33,1.33,0.0,0.33,0.01,0.06,0.0,0.67,0.0,0.01,0.13,0.07,3.0,28037.67
0,0,15,0,14.4,449,0.16,0.18,0.02,1.33,59,1,0,4.3,15.0,2024-09-28,90,9,0,0,0,0,6,0,18942,1,1,0,14.0,1,-2000,285,2285,50,True,1,0,1,0.0223712604492902,90,Nottingham Forest,Fulham,0,1,26653,2024,677779,0.1152760684490203,0,1,0,0.0223712604492902,0.1376473307609558,0.0,2,2,6,1.3,MID,0.33,0.01,0.01,0.0,0.54,0.0,0.0,1.27,4.8,4.33,3.33,55.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,1.0,1.33,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.24,0.22,1.9,23044.67
0,0,6,0,3.3,449,0.0,0.18,0.18,2.27,65,1,0,4.0,13.4,2024-10-06,90,6,0,0,0,0,7,0,17271,1,1,1,23.0,2,-1815,200,2015,49,False,0,0,3,0.2980612218379974,90,Chelsea,Nottingham Forest,1,1,26668,2024,680156,0.0,0,0,0,0.2980612218379974,0.3245869874954223,0.0265257805585861,3,4,7,1.5,MID,0.33,0.05,0.06,0.01,0.94,0.33,0.0,1.77,7.47,5.47,4.67,75.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.33,0.67,1.33,0.0,0.33,0.01,0.04,0.0,0.33,0.0,0.01,0.25,0.21,1.6,20541.67
0,0,10,1,43.3,449,0.04,0.32,0.28,1.12,77,0,0,7.8,18.0,2024-10-21,90,7,0,0,0,0,8,0,17065,1,0,1,17.0,3,-455,733,1188,49,True,0,0,4,0.3032459318637848,90,Nottingham Forest,Crystal Palace,1,0,26677,2024,682440,0.1381826847791671,0,4,0,0.3032459318637848,0.1431963294744491,0.0340650118887424,2,2,8,2.0,MID,0.0,0.05,0.12,0.07,1.38,0.67,0.0,2.93,11.0,6.0,12.33,75.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,1.0,1.33,0.0,1.33,0.11,0.04,0.0,0.33,0.0,0.11,0.33,0.18,1.33,19017.0
0,1,31,0,13.9,449,0.01,0.41,0.4,0.76,88,1,1,7.8,46.4,2024-10-25,90,11,0,0,0,0,9,0,16893,1,3,1,18.0,8,-288,551,839,49,False,0,1,2,0.6264179944992065,90,Leicester,Nottingham Forest,1,3,26682,2024,682641,0.0378841198980808,0,1,1,0.6264179944992065,0.0561930239200592,0.0,3,2,9,4.3,MID,0.33,0.07,0.23,0.16,1.57,0.67,0.0,5.37,15.47,20.33,18.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,2.0,0.0,2.67,0.21,0.08,0.0,1.67,0.0,0.21,0.2,0.02,1.6,17759.33
0,0,9,1,4.7,449,0.02,0.08,0.06,0.13,97,0,0,2.6,12.6,2024-11-02,90,19,0,0,0,0,10,0,33587,1,0,3,9.0,3,15457,17193,1736,49,True,0,0,2,0.0995145663619041,90,Nottingham Forest,West Ham,3,0,26698,2024,685059,0.0,0,0,0,0.0995145663619041,0.8125424981117249,0.7130279541015625,2,2,10,4.7,MID,0.33,0.02,0.3,0.29,1.38,0.67,0.33,6.53,25.93,20.17,19.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,4.33,0.33,3.0,0.41,0.06,0.0,1.67,0.33,0.41,0.17,0.02,2.6,17076.33
