assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,16,0,4.0,163,0.02,0.02,0.0,0.69,9,1,0,2.4,18.0,2024-08-18,79,13,0,0,0,0,1,0,521204,1,2,0,2.0,2,0,0,0,50,True,0,0,0,0.0,86,Chelsea,Manchester City,0,2,26610,2024,667014,0.0,0,0,0,0.0,0.1808259338140487,0.1808259338140487,5,4,1,1.4,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,0,5.2,163,0.18,0.18,0.0,1.8,20,2,0,1.4,9.2,2024-08-25,82,20,0,0,0,0,2,0,627897,1,6,2,0.0,0,7796,57092,49296,50,False,1,0,0,0.0,90,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668752,0.0,0,0,0,0.0,0.373455286026001,0.373455286026001,4,2,2,1.0,DEF,0.0,0.01,0.01,0.0,0.23,0.33,0.0,0.8,6.0,1.33,0.67,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.47,173734.67
0,0,9,0,4.3,163,0.01,0.01,0.0,0.44,23,1,0,2.4,17.6,2024-09-01,90,7,0,0,0,0,3,0,614141,1,1,1,2.0,2,-39815,65020,104835,50,True,0,0,0,0.0,90,Chelsea,Crystal Palace,1,1,26630,2024,672431,0.0,0,0,0,0.0,0.3566131591796875,0.3566131591796875,2,4,3,1.3,DEF,0.0,0.07,0.07,0.0,0.83,1.0,0.0,1.27,9.07,3.07,0.67,53.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,2.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.8,383033.67
0,0,21,1,3.7,163,0.03,0.03,0.0,1.78,32,0,0,1.2,2.2,2024-09-14,90,3,0,0,0,0,4,0,609782,1,1,0,6.0,5,-25980,52166,78146,50,False,1,0,0,0.0,90,Bournemouth,Chelsea,0,1,26639,2024,674166,0.0,0,0,0,0.0,0.5329201221466064,0.5329201221466064,4,3,4,2.2,DEF,0.0,0.07,0.07,0.0,0.98,1.33,0.0,2.07,14.93,4.5,1.33,83.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,3.0,1.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.23,587747.33
0,0,28,1,1.4,163,0.0,0.0,0.0,0.85,50,0,0,2.2,21.0,2024-09-21,90,19,0,0,0,0,5,0,624116,1,3,0,0.0,5,4564,34588,30024,50,False,1,0,0,0.0,90,West Ham,Chelsea,0,3,26642,2024,675295,0.0,0,0,0,0.0,0.9875789880752563,0.9875789880752563,4,2,5,3.0,DEF,0.33,0.07,0.07,0.0,1.34,1.0,0.0,1.67,9.67,4.4,2.67,87.33,0.0,0.0,0.0,0.0,0.67,0.0,1.0,2.67,1.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,1.5,617273.33
0,0,1,0,14.4,163,0.38,0.38,0.0,0.88,54,2,0,3.6,19.2,2024-09-28,69,5,0,0,0,0,6,0,642609,1,2,4,2.0,0,10145,48909,38764,50,True,1,0,0,0.0,78,Chelsea,Brighton,4,2,26657,2024,677896,0.0786582008004188,0,1,0,0.0,0.5958869457244873,0.5958869457244873,2,4,6,3.0,DEF,0.67,0.01,0.01,0.0,1.02,0.33,0.0,1.93,13.6,3.13,2.67,90.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.67,0.33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,2.17,616013.0
0,0,5,0,3.3,163,0.02,0.02,0.0,0.85,65,1,0,1.4,8.4,2024-10-06,90,16,0,0,0,0,7,0,621590,1,1,1,2.0,1,-27014,27952,54966,50,True,1,0,0,0.0,90,Chelsea,Nottingham Forest,1,1,26668,2024,680139,0.0,0,0,0,0.0,1.1158692836761477,1.1158692836761477,3,4,7,2.8,DEF,0.67,0.14,0.14,0.0,1.17,0.67,0.0,2.33,14.13,6.5,2.67,83.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.33,3.33,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0,0.71,0.71,2.73,625502.33
0,0,3,0,0.2,163,0.0,0.0,0.0,0.0,85,0,0,0.0,0.2,2024-10-27,12,15,0,0,0,0,9,0,466463,0,1,2,0.0,1,-13069,7919,20988,50,True,0,0,0,0.0,5,Chelsea,Newcastle United,2,1,26688,2024,683520,0.0,0,0,0,0.0,0.0,0.0,3,4,9,1.2,DEF,0.0,0.13,0.13,0.0,0.58,1.0,0.0,1.67,9.2,5.9,1.33,53.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,1.0,1.67,0.33,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0,0.57,0.57,1.93,421399.67
0,0,-1,0,11.3,163,0.02,0.06,0.04,1.26,95,1,0,2.3,7.2,2024-11-03,45,14,0,0,0,0,10,0,448458,0,1,1,4.0,1,-20280,8904,29184,50,False,0,0,1,0.0167267695069313,42,Manchester United,Chelsea,1,1,26697,2024,685881,0.0478674173355102,0,1,0,0.0167267695069313,0.0167267695069313,0.0,4,3,10,1.2,DEF,0.0,0.01,0.01,0.0,0.28,0.33,0.0,0.47,2.87,1.17,0.67,34.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,1.33,362684.33
0,0,15,0,2.1,163,0.01,0.01,0.0,0.99,103,1,0,1.8,16.0,2024-11-10,90,1,0,0,0,0,11,0,432210,1,1,1,0.0,1,-17930,5644,23574,50,True,1,0,0,0.0,90,Chelsea,Arsenal,1,1,26705,2024,687558,0.0,0,0,0,0.0,0.1201327741146087,0.1201327741146087,5,4,11,,,0.0,0.01,0.02,0.01,0.42,0.33,0.0,0.77,2.47,3.83,1.33,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67,0.0,0.33,0.01,0.02,0.0,0.33,0.0,0.01,0.01,0.0,0.8,304973.67
