assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,2,0,11.7,243,0.05,0.05,0.0,0.94,1,1,0,2.0,3.8,2024-08-16,26,14,0,0,0,0,1,0,3772,0,0,1,4.0,0,0,0,0,50,False,1,0,0,0.0,25,Sub,Manchester United,Fulham,1,0,26602,2024,666199,0.0,0,0,0,0.0,0.0,0.0,2,3,1
0,0,0,0,0.7,243,0.0,0.0,0.0,0.27,15,0,0,0.4,2.8,2024-08-24,21,11,0,0,0,0,2,0,4007,0,1,2,0.0,0,-473,198,671,50,True,1,0,0,0.0,17,Sub,Fulham,Leicester,2,1,26614,2024,667958,0.0,0,0,0,0.0,0.2948282957077026,0.2948282957077026,2,3,2
0,0,3,0,0.3,243,0.0,0.0,0.0,0.09,25,0,0,0.1,0.2,2024-08-31,3,10,0,0,0,0,3,0,3928,0,1,1,0.0,1,-350,462,812,49,False,0,0,0,0.0,1,Sub,Ipswich,Fulham,1,1,26625,2024,671809,0.0,0,0,0,0.0,0.0,0.0,2,2,3
0,0,10,0,15.3,243,0.13,0.13,0.0,0.33,35,1,0,2.1,5.2,2024-09-14,17,19,0,0,0,0,4,0,3995,0,1,1,0.0,1,-131,552,683,49,True,0,0,0,0.0,16,Sub,Fulham,West Ham,1,1,26634,2024,673747,0.3561949729919433,0,1,0,0.0,0.3561949729919433,0.3561949729919433,2,3,4
0,0,10,0,5.8,243,0.02,0.02,0.0,0.23,69,1,0,1.3,7.2,2024-10-05,25,13,0,0,0,0,7,0,3542,0,2,3,0.0,1,-208,80,288,49,False,0,0,0,0.0,24,Sub,Manchester City,Fulham,3,2,26664,2024,679481,0.0,0,0,0,0.0,0.4507481157779693,0.4507481157779693,2,5,7
0,0,9,0,15.8,243,0.31,0.31,0.0,0.06,72,0,0,2.2,6.4,2024-10-19,10,2,0,0,0,0,8,0,3563,0,3,1,0.0,1,-62,142,204,48,True,0,0,0,0.0,6,Sub,Fulham,Aston Villa,1,3,26673,2024,681331,0.5963118076324463,0,1,0,0.0,0.5963118076324463,0.5963118076324463,3,3,8
0,0,4,0,16.3,243,0.03,0.03,0.0,0.41,92,0,0,1.9,3.0,2024-11-04,8,4,0,0,0,0,10,0,3609,0,1,2,0.0,1,-41,157,198,48,True,0,0,0,0.0,6,Sub,Fulham,Brentford,2,1,26693,2024,686119,0.0289849881082773,0,1,0,0.0,0.2440167069435119,0.2440167069435119,2,3,10
0,0,3,0,4.0,243,0.01,0.01,0.0,0.04,104,0,0,0.7,3.0,2024-11-09,7,7,0,0,0,0,11,0,3572,0,2,0,0.0,1,-80,104,184,48,False,0,0,0,0.0,4,Sub,Crystal Palace,Fulham,0,2,26706,2024,686631,0.0,0,0,0,0.0,0.5460522770881653,0.5460522770881653,2,2,11
