assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,11,1,1.3,410,0.01,0.01,0.0,1.77,5,0,0,1.5,9.4,2024-08-17,90,17,0,0,0,0,1,0,103817,1,0,1,4.0,3,0,0,0,50,True,0,0,0,0.0,90,MC,Newcastle United,Southampton,1,0,26606,2024,666362,0.0,0,0,0,0.0,0.0,0.0,2,4,1
0,0,17,0,12.7,410,0.01,0.01,0.0,1.81,12,1,0,1.9,3.8,2024-08-25,69,3,0,0,0,0,2,0,105177,1,1,1,2.0,2,-3389,5548,8937,50,False,0,0,0,0.0,73,MC,Bournemouth,Newcastle United,1,1,26620,2024,668723,0.0244401078671216,0,1,0,0.0,0.0,0.0,3,3,2
0,0,6,0,0.9,410,0.0,0.0,0.0,0.99,28,1,0,1.7,16.2,2024-09-01,67,18,0,0,0,0,3,0,90362,1,1,2,0.0,1,-15506,2839,18345,50,True,1,0,0,0.0,73,MC,Newcastle United,Tottenham,2,1,26629,2024,672462,0.0,0,0,0,0.0,0.1008209735155105,0.1008209735155105,4,4,3
0,0,2,0,3.3,410,0.01,0.01,0.0,0.63,40,1,0,0.3,0.0,2024-09-15,45,20,0,0,0,0,4,0,86708,1,2,1,0.0,1,-5917,12296,18213,49,False,0,0,0,0.0,48,MC,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674633,0.0,0,0,0,0.0,0.0,0.0,3,2,4
0,0,4,0,0.0,410,0.0,0.21,0.21,0.24,58,0,0,0.5,1.2,2024-09-28,12,13,0,0,0,0,6,0,67368,0,1,1,4.0,1,-13122,2019,15141,48,True,0,0,1,0.0970475748181343,12,Sub,Newcastle United,Manchester City,1,1,26652,2024,677444,0.0,0,0,0,0.0970475748181343,0.0970475748181343,0.0,5,4,6
0,0,3,0,1.6,410,0.01,0.01,0.0,0.04,67,0,0,0.7,3.2,2024-10-05,19,8,0,0,0,0,7,0,62274,0,0,0,2.0,1,-5641,2683,8324,48,False,0,0,0,0.0,13,Sub,Everton,Newcastle United,0,0,26669,2024,679754,0.0,0,0,0,0.0,0.2560266852378845,0.2560266852378845,3,2,7
0,0,3,0,0.5,410,0.0,0.0,0.0,0.22,76,0,0,0.1,0.8,2024-10-19,5,5,0,0,0,0,8,0,57856,0,1,0,0.0,1,-4668,1374,6042,47,True,0,0,0,0.0,4,Sub,Newcastle United,Brighton,0,1,26676,2024,681364,0.0,0,0,0,0.0,0.0,0.0,2,4,8
0,0,1,0,0.6,410,0.0,0.0,0.0,0.41,85,0,0,0.9,6.0,2024-10-27,22,6,0,0,0,0,9,0,56702,0,1,2,2.0,0,-1543,2765,4308,47,False,1,0,0,0.0,15,Sub,Chelsea,Newcastle United,2,1,26688,2024,683537,0.0,0,0,0,0.0,0.3166383802890777,0.3166383802890777,3,4,9
0,0,6,1,1.8,410,0.01,0.03,0.02,1.05,96,0,0,2.5,12.4,2024-11-02,90,1,0,0,0,0,10,0,54397,1,0,1,11.0,3,-2519,2924,5443,47,True,0,0,1,0.0643293783068656,90,MC,Newcastle United,Arsenal,1,0,26694,2024,684659,0.0,0,0,0,0.0643293783068656,0.5802618861198425,0.5159325003623962,5,4,10
1,0,20,0,20.8,410,0.13,0.35,0.22,0.63,107,1,0,4.5,14.2,2024-11-10,90,16,0,0,0,0,11,0,56267,1,3,1,10.0,5,1430,5233,3803,47,False,0,0,1,0.0862769559025764,90,MC,Nottingham Forest,Newcastle United,1,3,26704,2024,687333,0.0681161284446716,0,1,0,0.0862769559025764,0.0827258005738258,0.0827258005738258,3,2,11
