assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event
0,0,4,0,2.3,420,0.01,0.09,0.08,0.42,12,0,0,1.3,1.4,2024-08-25,20,3,0,0,0,0,2,0,14514,0,1,1,9.0,1,-1870,953,2823,50,False,0,0,1,0.0858331024646759,17,Sub,Bournemouth,Newcastle United,1,1,26620,2024,668731,0.0,0,0,0,0.0858331024646759,0.1987319588661193,0.1128988564014434,3,3,2
1,0,23,0,52.3,420,0.09,0.17,0.08,0.37,40,0,0,9.2,33.0,2024-09-15,45,20,0,0,0,0,4,0,9671,0,2,1,7.0,4,-3126,310,3436,49,False,0,0,1,0.1087054759263992,42,Sub,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674641,0.5652511119842529,1,5,0,0.1087054759263992,0.5834778547286987,0.3287946879863739,3,2,4
0,0,2,0,11.7,420,0.01,0.01,0.0,1.28,44,2,0,1.5,3.0,2024-09-21,45,9,0,0,0,0,5,0,19438,1,1,3,0.0,1,8214,9930,1716,48,False,0,0,0,0.0,47,MC,Fulham,Newcastle United,3,1,26646,2024,675736,0.0258104354143142,0,1,0,0.0,0.0258104354143142,0.0,3,3,5
0,0,3,0,0.0,420,0.0,0.0,0.0,0.24,58,0,0,0.0,0.0,2024-09-28,13,13,0,0,0,0,6,0,22594,0,1,1,0.0,1,2895,6340,3445,48,True,0,0,0,0.0,12,Sub,Newcastle United,Manchester City,1,1,26652,2024,677443,0.0,0,0,0,0.0,0.0,0.0,5,4,6
0,0,1,0,1.1,420,0.01,0.01,0.0,0.06,67,0,0,0.5,1.6,2024-10-05,21,8,0,0,0,0,7,0,24116,0,0,0,2.0,1,1006,4108,3102,48,False,0,0,0,0.0,15,Sub,Everton,Newcastle United,0,0,26669,2024,679753,0.0,0,0,0,0.0,0.0,0.0,3,2,7
0,0,2,0,1.3,420,0.03,0.03,0.0,0.55,76,0,0,0.6,2.6,2024-10-19,24,5,0,0,0,0,8,0,23220,0,1,0,2.0,1,-1091,1467,2558,48,True,0,0,0,0.0,24,Sub,Newcastle United,Brighton,0,1,26676,2024,681363,0.0,0,0,0,0.0,0.341496855020523,0.341496855020523,2,4,8
0,0,5,0,11.3,420,0.17,0.17,0.0,0.41,85,0,0,2.2,4.4,2024-10-27,22,6,0,0,0,0,9,0,22161,0,1,2,6.0,1,-1187,625,1812,48,False,0,0,0,0.0,15,Sub,Chelsea,Newcastle United,2,1,26688,2024,683536,0.3166383802890777,0,1,0,0.0,0.3166383802890777,0.0,3,4,9
0,0,7,1,11.4,420,0.02,0.08,0.06,0.67,96,0,0,4.6,9.2,2024-11-02,64,1,0,0,0,0,10,0,21137,1,0,1,25.0,2,-1176,904,2080,48,True,1,0,2,0.1300494968891143,68,MC,Newcastle United,Arsenal,1,0,26694,2024,684658,0.0558766163885593,0,1,0,0.1300494968891143,0.2604003846645355,0.0744742825627327,5,4,10
0,0,12,0,40.2,420,0.13,0.19,0.06,0.48,107,1,0,6.6,10.2,2024-11-10,68,16,0,0,0,0,11,0,21649,1,3,1,16.0,2,293,1936,1643,48,False,0,0,2,0.0765838399529457,72,MC,Nottingham Forest,Newcastle United,1,3,26704,2024,687332,0.4863510131835937,0,3,0,0.0765838399529457,0.5629348158836365,0.0146096711978316,3,2,11
